,name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived,package.json,package-lock.json
261,verbalexpressions/jsverbalexpressions,False,544,4,master,6,42.0,MIT License,269,12021,527,2921,2013-07-19T02:59:46,2022-10-11T12:56:58,2022-10-20T03:40:41,http://verbalexpressions.github.io/JSVerbalExpressions/,JavaScript,110.0,23.0,269,3,2022-10-11T12:56:50,8e1787ad784131e52288c502f507bae73cdf3b28,True,False,True,True
263,webpack-contrib/webpack-bundle-analyzer,False,609,11,master,1,57.0,MIT License,95,11969,495,2568,2016-10-26T04:24:35,2022-09-12T02:01:47,2022-09-16T02:24:13,,JavaScript,273.0,60.0,246,21,2022-09-01T06:15:08,524dc410c0e7815b2c9d3aa04aa3c4dfc3ce8da8,False,False,True,True
266,apexcharts/apexcharts.js,False,2564,2,main,86,133.0,MIT License,117,11802,1002,48368,2018-07-24T03:22:23,2022-09-17T07:11:08,2022-09-20T06:22:48,https://apexcharts.com,JavaScript,2713.0,184.0,286,0,2022-09-17T07:10:43,ed46905b22b7b96e1ab8ef3e9ab88a5d2e632d3b,True,False,True,True
268,marko-js/marko,False,4661,33,main,41,116.0,MIT License,214,11790,643,18206,2014-01-07T11:58:21,2022-10-12T06:40:31,2022-10-21T08:43:12,https://markojs.com/,JavaScript,1015.0,57.0,826,2,2022-10-12T06:36:29,8909ef3e76504f1d6650e77ed3b73a345265f374,True,False,True,True
269,phobal/ivideo,False,885,8,master,7,81.0,MIT License,316,11784,3282,7327,2018-04-17T06:59:08,2021-01-28T07:46:42,2021-02-16T09:10:21,,JavaScript,,,14,6,2019-09-29T06:11:36,e9a26b66177a643f53bbadeb89da45dfee821abc,True,False,True,True
270,karma-runner/karma,False,2840,4,master,171,345.0,MIT License,322,11746,1750,9986,2011-10-12T07:55:46,2022-09-20T12:17:38,2022-09-22T12:58:22,http://karma-runner.github.io,JavaScript,2020.0,322.0,1790,15,2022-09-20T12:17:37,50f963551fbccf669c8d42499d0406ded2ec6176,False,False,True,True
271,nock/nock,False,2072,11,main,135,232.0,MIT License,93,11732,776,8405,2011-09-22T10:08:03,2022-10-03T03:27:59,2022-10-12T11:14:05,,JavaScript,1035.0,46.0,1344,19,2022-10-01T09:35:28,63668b3de22e140df025ef57072b715f9ee9bcc6,False,False,True,True
274,d2-projects/d2-admin,False,2873,3,master,87,18.0,MIT License,344,11687,2335,21213,2018-01-13T04:51:52,2022-09-01T03:07:23,2022-09-06T02:17:47,https://d2.pub,JavaScript,285.0,10.0,74,0,2022-08-23T02:21:14,91d04bddb2fc3e6da0b60a3cc931b7f1e9175110,True,False,True,True
275,jaredreich/pell,False,79,2,master,12,5.0,MIT License,163,11656,597,1257,2017-07-09T02:30:51,2022-01-07T08:44:24,2022-01-08T03:55:46,https://jaredreich.com/pell,JavaScript,149.0,53.0,64,15,2019-03-29T12:33:04,49a7f63b55fa8274180da89b6d293ff463caa2aa,False,False,True,True
285,nightwatchjs/nightwatch,False,2326,9,main,186,106.0,MIT License,264,11172,1097,51906,2012-03-17T09:28:18,2022-08-29T01:00:30,2022-08-29T02:17:01,https://nightwatchjs.org,JavaScript,2465.0,157.0,680,17,2022-08-26T07:39:42,b662e3e2e26437c592b9d81281d5761cc91098e6,True,False,True,True
286,leon-ai/leon,False,761,9,develop,7,18.0,MIT License,192,11167,873,5433,2019-02-10T12:25:12,2022-09-28T05:40:51,2022-10-01T01:36:04,https://getleon.ai,JavaScript,235.0,47.0,194,17,2022-09-27T11:49:09,38226ca84e1b5286337ecb1335ea12e5ade02a38,False,False,True,True
287,codeseven/toastr,False,412,10,master,1,61.0,MIT License,352,11152,2008,1822,2012-05-01T01:38:04,2022-03-11T04:09:38,2022-03-16T12:51:02,http://www.toastrjs.com,JavaScript,427.0,114.0,252,33,2018-06-16T03:54:40,50092cc604850a16c985520b63df184d3e0b4086,True,False,True,True
289,luin/medis,False,311,26,master,5,16.0,MIT License,172,11056,812,53133,2015-10-12T02:19:35,2022-10-11T11:46:42,2022-10-21T12:53:15,http://getmedis.com,JavaScript,178.0,59.0,92,36,2022-05-20T02:54:07,370a0f0acb37cdec8000f479b9878ee835604b54,True,False,True,True
290,avwo/whistle,False,11023,9,master,0,22.0,MIT License,199,11053,925,72328,2015-03-13T05:42:01,2022-09-13T01:44:06,2022-09-17T03:17:11,https://wproxy.org/,JavaScript,680.0,2.0,96,8,2022-09-13T01:17:31,8a0d8328cdcdd62293bf984202ba6a831bdc17a5,True,False,True,True
291,fengyuanchen/cropperjs,False,713,4,main,66,37.0,MIT License,170,11048,2234,9470,2015-09-25T10:57:53,2022-09-04T05:49:09,2022-09-10T02:08:59,https://fengyuanchen.github.io/cropperjs/,JavaScript,849.0,22.0,91,3,2022-09-04T05:49:02,f1bd5ab5232317572cb43781ff91274dcebd7e22,True,False,True,True
